regionCode,regionName,UtlaCode,UtlaName,LtlaCode,LtlaName,areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingRate,newCasesBySpecimenDateRollingSum
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001260,Trafford Park West & Kingsway Park,msoa,2023-03-11,78.3,6
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001261,Gorse Hill,msoa,2023-03-11,46.5,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001262,Firswood,msoa,2023-03-11,34.4,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001263,Davyhulme,msoa,2023-03-11,59.9,5
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001265,Flixton & Moorside,msoa,2023-03-11,74.3,6
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001267,Urmston East,msoa,2023-03-11,54.4,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001268,Urmston West,msoa,2023-03-11,72.5,5
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001269,Stretford East,msoa,2023-03-11,83.2,7
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001270,Sale North,msoa,2023-03-11,81.5,7
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001271,Ashton upon Mersey North,msoa,2023-03-11,46.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001272,Sale East,msoa,2023-03-11,72.2,6
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001273,Sale Central,msoa,2023-03-11,29,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001275,Partington,msoa,2023-03-11,47,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001276,Sale Moor,msoa,2023-03-11,48.3,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001277,Broadheath & Firsway,msoa,2023-03-11,61.9,6
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001280,Timperley East,msoa,2023-03-11,35.5,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001281,Timperley South,msoa,2023-03-11,91.2,7
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001283,"Altrincham West, Dunham & Warburton",msoa,2023-03-11,30.6,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001286,Hale Barns,msoa,2023-03-11,60,5
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001260,Trafford Park West & Kingsway Park,msoa,2023-03-04,39.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001261,Gorse Hill,msoa,2023-03-04,58.1,5
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001263,Davyhulme,msoa,2023-03-04,47.9,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001265,Flixton & Moorside,msoa,2023-03-04,37.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001267,Urmston East,msoa,2023-03-04,54.4,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001270,Sale North,msoa,2023-03-04,81.5,7
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001272,Sale East,msoa,2023-03-04,60.1,5
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001273,Sale Central,msoa,2023-03-04,29,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001275,Partington,msoa,2023-03-04,82.2,7
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001276,Sale Moor,msoa,2023-03-04,36.2,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001277,Broadheath & Firsway,msoa,2023-03-04,41.3,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001279,Timperley North,msoa,2023-03-04,105.9,9
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001280,Timperley East,msoa,2023-03-04,47.4,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001281,Timperley South,msoa,2023-03-04,39.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001285,Bowdon,msoa,2023-03-04,49.9,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001286,Hale Barns,msoa,2023-03-04,72,6
