areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E08000009,Trafford,ltla,2023-11-22,65_69,1,3,27.8
E08000009,Trafford,ltla,2023-11-22,70_74,0,1,9.4
E08000009,Trafford,ltla,2023-11-22,75_79,0,0,0
E08000009,Trafford,ltla,2023-11-22,80_84,0,0,0
E08000009,Trafford,ltla,2023-11-22,85_89,0,2,52.9
E08000009,Trafford,ltla,2023-11-22,90+,0,0,0
E08000009,Trafford,ltla,2023-11-22,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-11-21,00_04,0,0,0
E08000009,Trafford,ltla,2023-11-21,00_59,2,7,3.8
E08000009,Trafford,ltla,2023-11-21,05_09,0,0,0
E08000009,Trafford,ltla,2023-11-21,10_14,0,0,0
E08000009,Trafford,ltla,2023-11-21,15_19,0,0,0
E08000009,Trafford,ltla,2023-11-21,20_24,1,1,9.5
E08000009,Trafford,ltla,2023-11-21,25_29,0,0,0
E08000009,Trafford,ltla,2023-11-21,30_34,0,1,7
E08000009,Trafford,ltla,2023-11-21,35_39,0,1,5.8
E08000009,Trafford,ltla,2023-11-21,40_44,1,3,17.4
E08000009,Trafford,ltla,2023-11-21,45_49,0,0,0
E08000009,Trafford,ltla,2023-11-21,50_54,0,0,0
E08000009,Trafford,ltla,2023-11-21,55_59,0,1,6.2
E08000009,Trafford,ltla,2023-11-21,60+,0,7,12.9
E08000009,Trafford,ltla,2023-11-21,60_64,0,1,7.7
E08000009,Trafford,ltla,2023-11-21,65_69,0,2,18.5
E08000009,Trafford,ltla,2023-11-21,70_74,0,1,9.4
E08000009,Trafford,ltla,2023-11-21,75_79,0,0,0
E08000009,Trafford,ltla,2023-11-21,80_84,0,0,0
E08000009,Trafford,ltla,2023-11-21,85_89,0,3,79.3
E08000009,Trafford,ltla,2023-11-21,90+,0,0,0
E08000009,Trafford,ltla,2023-11-21,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-11-20,00_04,0,0,0
E08000009,Trafford,ltla,2023-11-20,00_59,3,5,2.7
E08000009,Trafford,ltla,2023-11-20,05_09,0,0,0
E08000009,Trafford,ltla,2023-11-20,10_14,0,0,0
E08000009,Trafford,ltla,2023-11-20,15_19,0,0,0
E08000009,Trafford,ltla,2023-11-20,20_24,0,0,0
E08000009,Trafford,ltla,2023-11-20,25_29,0,0,0
E08000009,Trafford,ltla,2023-11-20,30_34,0,1,7
E08000009,Trafford,ltla,2023-11-20,35_39,1,1,5.8
E08000009,Trafford,ltla,2023-11-20,40_44,2,2,11.6
E08000009,Trafford,ltla,2023-11-20,45_49,0,0,0
E08000009,Trafford,ltla,2023-11-20,50_54,0,0,0
E08000009,Trafford,ltla,2023-11-20,55_59,0,1,6.2
E08000009,Trafford,ltla,2023-11-20,60+,2,9,16.5
E08000009,Trafford,ltla,2023-11-20,60_64,0,1,7.7
